state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
Louisiana,85.4,21.7,8.2,596700,38279,1064925,1192,0,9741,379,911,1712127,169439,206129,201518,202584,190037,99622,29263,8193,143600,2014,1/1/2014,La.,LA,LA_2014
Maine,75.6,23.8,12.8,37608,48027,28040,342185,1860,78214,451,11692,548077,37217,51896,63188,75044,89940,51333,19219,4302,174800,2014,1/1/2014,Maine,ME,ME_2014
Maryland,89.4,23,11.4,973472,71602,858626,207401,2458,31229,1056,9148,2154992,65549,60589,100826,162183,363579,415647,217713,40662,288500,2014,1/1/2014,Md.,MD,MD_2014
Massachusetts,90.1,24.5,16,1310713,77135,371616,703760,4063,41999,825,21307,2531418,56776,25478,70402,141237,360649,549669,300855,65266,338900,2014,1/1/2014,Mass.,MA,MA_2014
Michigan,84.5,20,11.9,2942704,314434,342353,47572,1408,129455,906,38130,3816962,426842,626897,515219,424084,393168,227096,63493,16485,125700,2014,1/1/2014,Mich.,MI,MI_2014
Minnesota,89.3,18.1,9.8,1420749,223105,341899,44148,980,54734,500,26451,2112566,110368,153253,253031,310845,369898,239935,74513,14563,188300,2014,1/1/2014,Minn.,MN,MN_2014
Mississippi,84.6,23.4,11.1,339414,129561,603699,1067,243,17236,65,1385,1092670,154610,204107,133436,107084,89103,40797,8853,3514,104000,2014,1/1/2014,Miss.,MS,MS_2014
Missouri,86.1,18.6,10.1,1210952,219176,805368,4653,336,96594,558,8390,2346027,203291,328702,326658,269040,260497,132483,44539,10416,138500,2014,1/1/2014,Mo.,MO,MO_2014
Montana,83.6,23.3,10.1,221378,50495,94131,4019,533,34643,376,4046,409621,30845,28104,33104,46953,70370,44198,14759,4523,196800,2014,1/1/2014,Mont.,MT,MT_2014
Nebraska,90.9,16.2,10.1,444310,56850,219061,3068,56,11002,50,4124,738521,56191,101590,128567,79771,75000,34079,9966,3274,133800,2014,1/1/2014,Nebr.,NE,NE_2014
Nevada,85.2,24.2,9.5,611388,27175,351476,5896,0,17073,471,4454,1017933,44711,58871,80603,103776,132267,93017,29276,5384,192100,2014,1/1/2014,Nev.,NV,NV_2014
New Hampshire,83.8,23.5,16.3,100601,76212,46268,230361,1781,49555,275,10068,515121,21032,18367,34541,61656,120259,84071,21003,4067,236400,2014,1/1/2014,N.H.,NH,NH_2014
New Jersey,88.9,30.9,21.4,2393423,62396,384329,309236,1705,14471,1748,13957,3181265,87444,62254,120142,209032,476396,659523,344761,61510,313200,2014,1/1/2014,N.J.,NJ,NJ_2014
New Mexico,83.4,25,9.3,506959,59610,126923,1106,182,54261,2108,8016,759165,70328,74274,91109,92243,93847,60045,20789,6516,158400,2014,1/1/2014,N.M.,NM,NM_2014
New York,88.9,29.3,17.3,4186666,258775,770577,1752656,17720,145012,2573,76963,7210942,248786,430908,434758,377487,546342,919088,684804,215733,279100,2014,1/1/2014,N.Y.,NY,NY_2014
North Carolina,85.1,21.8,10.1,926794,279111,2343976,132786,664,82455,1940,5893,3773619,261226,429756,477280,412482,436334,290445,105663,22198,155000,2014,1/1/2014,N.C.,NC,NC_2014
North Dakota,87.1,11.3,6.8,121884,39684,123672,8502,1075,2021,39,4850,301727,27185,29414,31598,32819,43712,23232,6057,985,161800,2014,1/1/2014,N.D.,ND,ND_2014
Ohio,89.2,18.3,9.9,3058773,228782,1047130,109342,2605,89144,1062,34393,4571231,328055,746092,682084,510104,439232,221189,62514,11478,129100,2014,1/1/2014,Ohio,OH,OH_2014
Oklahoma,85.9,18.6,8,768244,97810,546544,1976,75,29462,21,11911,1456043,147496,240384,205378,150544,124692,56295,19786,6242,119800,2014,1/1/2014,Okla.,OK,OK_2014
Oregon,90.3,24.2,12,580411,25335,764501,34492,257,107706,755,14931,1528388,79833,44565,87386,142348,259589,221491,84555,12625,239800,2014,1/1/2014,Ore.,OR,OR_2014
Pennsylvania,88.5,21.3,12.7,2528694,198296,1087741,858758,67555,148256,1760,36886,4927946,328082,574291,580154,597244,681375,457007,155234,30777,165400,2014,1/1/2014,Pa.,PA,PA_2014
Rhode Island,88.5,27.5,15.6,217810,11457,39832,129877,333,7318,0,2159,408786,9656,7672,26109,47717,73716,54922,16412,4674,236000,2014,1/1/2014,R.I.,RI,RI_2014
South Carolina,83.5,22.5,9.4,413456,72957,1291881,16980,514,20954,373,2112,1819227,188655,244377,235851,193462,193721,120011,52901,14199,140000,2014,1/1/2014,S.C.,SC,SC_2014
South Dakota,88.9,15.7,8.8,160121,53817,97069,8253,152,6959,128,5957,332456,35555,40559,44325,41389,39285,20329,5253,1315,142300,2014,1/1/2014,S.D.,SD,SD_2014
Tennessee,87.5,22.3,8.5,822736,99108,1508176,10761,739,54661,737,3171,2500089,187713,351040,336380,280302,265554,159485,65582,13741,142900,2014,1/1/2014,Tenn.,TN,TN_2014
Texas,89,20.5,10,3418610,293663,5460578,10582,1089,34848,1799,15797,9236966,693738,1259280,1095208,911800,856065,578775,215891,63484,139600,2014,1/1/2014,Tex.,TX,TX_2014
Utah,89.8,19.6,6.8,779071,21692,99264,1076,1580,11172,205,2788,916848,36681,21963,82614,124886,189554,130221,41975,7269,223200,2014,1/1/2014,Utah,UT,UT_2014
Vermont,79,27.1,19.4,43091,38116,11250,115387,748,43828,179,4258,256857,12636,12284,22246,34364,52148,35058,9667,1781,214600,2014,1/1/2014,Vt.,VT,VT_2014
Virginia,89.5,21.1,9.9,1023682,138787,1653956,162273,1842,82114,701,10067,3073422,133081,153070,215424,277261,428361,459264,297544,50807,247800,2014,1/1/2014,Va.,VA,VA_2014
Washington,90.4,23.5,10,922363,79785,1472236,57606,208,117694,676,16095,2666663,99978,73610,139929,226100,422333,427780,222077,42813,266200,2014,1/1/2014,Wash.,WA,WA_2014
West Virginia,83.1,17,6.3,306187,32740,321049,19011,3372,46300,108,4829,733596,113791,142782,101455,73360,63689,27679,6754,1245,103900,2014,1/1/2014,W.Va.,WV,WV_2014
Wisconsin,87.1,20.5,11.7,1509961,254773,346409,57916,230,102176,742,23106,2295313,97993,226406,334183,318021,330223,175695,45401,8971,164700,2014,1/1/2014,Wis.,WI,WI_2014
Wyoming,86.7,16.8,7.6,138875,22193,53400,778,1462,12621,61,2534,231924,16692,11299,19610,29744,43220,23835,7151,4066,201000,2014,1/1/2014,Wyo.,WY,WY_2014
Alabama,83.2,20.4,9.4,520001,121771,1149424,2884,136,19735,134,1470,1815555,210176,287987,240440,190429,178881,95781,28611,7712,122700,2013,1/1/2013,Ala.,AL,AL_2013
Alaska,80,18.5,8.7,122315,3471,26064,74729,860,15670,0,2252,245361,8286,8090,11788,23718,50336,42965,10044,880,254000,2013,1/1/2013,Alaska,AK,AK_2013
Arizona,83,24.1,9.1,814584,66318,1430518,2702,145,48822,5487,6165,2374741,166708,218857,262762,252439,284072,206527,79465,19201,166000,2013,1/1/2013,Ariz.,AZ,AZ_2013
Arkansas,84.7,18.7,7,453891,79497,536242,1491,0,48006,0,3889,1123016,139535,199367,154851,103790,85655,41058,12085,3646,109500,2013,1/1/2013,Ark.,AR,AR_2013
California,91.7,32.6,12,8149303,414887,3379399,33220,1593,204825,22534,46996,12252757,361858,282785,389508,525596,1045738,1879161,1766336,553657,373100,2013,1/1/2013,Calif.,CA,CA_2013
Colorado,89.1,22.4,9,1407423,95660,432137,2089,1228,41289,3069,11846,1994741,80084,68378,132292,207243,354154,295567,126947,27280,240500,2013,1/1/2013,Colo.,CO,CO_2013
Connecticut,90,26.4,19.1,449787,46397,209463,585757,2501,29361,401,10236,1333903,32146,29490,80537,137454,236502,228551,104483,39315,267000,2013,1/1/2013,Conn.,CT,CT_2013
Delaware,82.3,22.6,10.2,138987,32922,110313,48095,851,3396,166,3067,337797,20865,13186,22685,43528,71967,54839,13053,2924,226200,2013,1/1/2013,Del.,DE,DE_2013
District of Columbia,89.7,21,13.5,152581,2849,104674,6012,91,0,317,1349,267873,3511,2032,1617,4431,14763,33124,35922,15113,470500,2013,1/1/2013,D.C.,DC,DC_2013
Florida,79.7,30.9,12.7,318727,74420,6648779,13461,523,14787,2486,3858,7077041,541100,930170,805674,723090,801517,548109,238223,84599,153300,2013,1/1/2013,Fla.,FL,FL_2013
Georgia,86.3,23.8,9.5,1422155,185887,1879370,5872,283,36761,298,3344,3533970,274879,480464,421053,355942,340096,238934,90713,20296,141600,2013,1/1/2013,Ga.,GA,GA_2013
Hawaii,85.5,33.9,9.9,9343,5536,125472,38,77,1728,11882,391,154467,5276,4384,5735,8930,29476,72692,103486,23020,500000,2013,1/1/2013,Hawaii,HI,HI_2013
Idaho,87,22.3,7.3,296247,30365,196590,9764,494,46389,225,5936,586010,33749,58244,92345,86464,74351,43670,15455,3896,159000,2013,1/1/2013,Idaho,ID,ID_2013
Illinois,90.4,24.9,12.8,3757212,204784,734516,8689,710,25245,1112,23835,4756103,275997,535609,529000,515967,637007,440566,176724,43157,169600,2013,1/1/2013,Ill.,IL,IL_2013
Indiana,88.9,17.3,7.7,1504232,176348,717335,21055,3857,55561,680,10442,2489510,205356,445797,418092,275161,222600,108196,30166,6652,122200,2013,1/1/2013,Ind.,IN,IN_2013
Iowa,91.6,14.6,8.3,775699,163459,249151,7228,134,20468,430,12599,1229168,103751,216221,200094,150708,127102,59061,13738,4687,126900,2013,1/1/2013,Iowa,IA,IA_2013
Kansas,89.8,16,8,735134,87427,259854,1884,80,20096,70,4821,1109366,107722,174645,142326,124994,109757,57470,14572,4251,129700,2013,1/1/2013,Kans.,KS,KS_2013
Kentucky,88.1,19.4,8.9,645906,108051,868659,15839,4011,51434,506,5175,1699581,193949,268732,244430,179106,152505,80780,23366,6440,120900,2013,1/1/2013,Ky.,KY,KY_2013
Louisiana,86.8,21.1,8.2,603059,37860,1068524,804,195,9805,401,1493,1722141,192321,213789,200998,202289,195392,99973,28816,6474,140300,2013,1/1/2013,La.,LA,LA_2013
Maine,75.7,24,13.5,31836,45601,28747,351842,1910,76707,486,9827,546956,34895,54983,65367,72040,85073,50748,17034,4097,172800,2013,1/1/2013,Maine,ME,ME_2013
Maryland,89.9,23.1,11.5,955665,67436,865922,214092,2458,33464,898,11755,2151690,65769,63309,106595,180602,372413,407478,203162,37579,280200,2013,1/1/2013,Md.,MD,MD_2013
Massachusetts,90.1,25.3,16.3,1265878,81306,371400,740917,2333,47009,1432,17553,2527828,58261,27798,75521,151591,372859,542543,274729,57507,327200,2013,1/1/2013,Mass.,MA,MA_2013
Michigan,84.7,20.9,12.1,2931318,319698,341965,47991,1336,132347,905,39038,3814598,474162,669297,521001,415522,361770,192867,56840,12498,117500,2013,1/1/2013,Mich.,MI,MI_2013
Minnesota,89.5,18.6,8.9,1399587,220587,356763,49863,585,53776,468,22758,2104387,108150,166854,273778,315626,350635,217530,72048,12279,180100,2013,1/1/2013,Minn.,MN,MN_2013
Mississippi,85,24,10.6,338085,128930,602503,1319,118,14648,0,1547,1087150,161242,213273,120914,100391,87869,36451,9810,3151,97500,2013,1/1/2013,Miss.,MS,MS_2013
Missouri,86.9,19.8,9,1205979,218963,822051,4664,398,95809,755,7362,2355981,207702,346383,340547,270232,242466,125297,39904,9881,133200,2013,1/1/2013,Mo.,MO,MO_2013
Montana,83.6,22,9.2,217689,49009,89434,4126,618,37525,342,5500,404243,30999,28374,34024,50934,67001,41140,14111,5136,190100,2013,1/1/2013,Mont.,MT,MT_2013
Nebraska,90.5,16.6,9.2,453769,57576,199699,2188,65,9928,55,4998,728278,55814,101416,126907,82008,73244,31902,8991,2170,132700,2013,1/1/2013,Nebr.,NE,NE_2013
Nevada,84.5,27.4,9.9,621978,27742,323768,6665,59,13813,970,3425,998420,48422,83197,101183,99081,116234,70202,18851,7285,165300,2013,1/1/2013,Nev.,NV,NV_2013
New Hampshire,84.2,24.5,18.4,101529,76485,42038,239542,744,44711,334,9251,514634,21634,18615,36167,61047,119410,83171,20253,3958,233300,2013,1/1/2013,N.H.,NH,NH_2013
New Jersey,88.8,31.9,21.6,2354824,60943,388226,329733,843,17421,1270,10710,3163970,86159,66258,121046,213432,498784,651454,335780,61310,307700,2013,1/1/2013,N.J.,NJ,NJ_2013
New Mexico,83.2,23.6,8.6,503091,61554,127124,1230,164,49712,971,7813,751659,71065,73920,90064,94628,102395,53495,22415,3711,159200,2013,1/1/2013,N.M.,NM,NM_2013
New York,88.8,29.8,17,4074510,259367,764400,1802442,18997,148422,2525,81841,7152504,255253,439543,433305,375281,555207,941907,678750,194053,277600,2013,1/1/2013,N.Y.,NY,NY_2013
North Carolina,85.5,21.9,9.8,922927,280693,2308910,137984,656,84384,1216,5134,3741904,258639,427665,477549,424169,424973,278329,99915,23478,154300,2013,1/1/2013,N.C.,NC,NC_2013
North Dakota,87.9,12.5,7.1,123757,39927,114846,10163,1331,1695,45,4013,295777,27287,33229,31535,34603,41765,19916,3882,1172,155400,2013,1/1/2013,N.D.,ND,ND_2013
Ohio,89.1,19.5,9,3021993,236293,1049033,110043,3538,91040,726,34650,4547316,331238,763654,704629,511761,429177,204115,59144,12077,127000,2013,1/1/2013,Ohio,OH,OH_2013
Oklahoma,86,18.1,7.2,768448,103324,530472,1239,52,29239,297,11132,1444203,150514,250738,205687,148478,113959,57350,17359,4455,116500,2013,1/1/2013,Okla.,OK,OK_2013
Oregon,90.5,27.2,12.6,572046,26827,761368,37636,0,106592,909,11992,1517370,77031,48555,96613,161485,248811,209158,74397,10880,229700,2013,1/1/2013,Ore.,OR,OR_2013
Pennsylvania,88.7,21.7,12.3,2516052,195799,1086074,870064,67774,148597,1408,33941,4919709,345780,585313,572554,596164,674361,456357,146001,28640,164200,2013,1/1/2013,Pa.,PA,PA_2013
Rhode Island,88,28.4,16.6,212545,10035,39215,132486,845,8547,185,1769,405627,10645,8603,28015,50601,69164,56265,17947,4169,232300,2013,1/1/2013,R.I.,RI,RI_2013
South Carolina,83.1,23.1,10.3,408997,80318,1254816,20644,245,19846,143,1906,1786915,181052,244126,235530,197931,186604,116679,46656,15036,139200,2013,1/1/2013,S.C.,SC,SC_2013
South Dakota,89.5,15.6,8.2,156501,52307,99973,8111,485,5240,120,6381,329118,35775,40233,46612,40821,34008,18405,5689,1266,138400,2013,1/1/2013,S.D.,SD,SD_2013
Tennessee,87.7,21.4,7.6,803897,105832,1503502,10849,810,53113,623,2871,2481497,181867,352898,359059,279229,259236,152874,54095,13718,140300,2013,1/1/2013,Tenn.,TN,TN_2013
Texas,88.8,20.7,9.3,3320609,293618,5387263,9731,193,39408,1829,13553,9066204,715199,1319018,1168929,864653,815140,502985,193214,55179,132000,2013,1/1/2013,Tex.,TX,TX_2013
Utah,89.4,20.8,6.9,758978,20447,102457,966,1078,10536,152,3474,898088,35147,25754,91142,135196,178958,114154,34873,7348,211400,2013,1/1/2013,Utah,UT,UT_2013
Vermont,78.2,25.9,18.1,42192,38339,11779,111011,648,44411,257,3630,252267,11091,11196,24028,32595,52706,35758,10268,2149,218300,2013,1/1/2013,Vt.,VT,VT_2013
Virginia,89.5,21.8,8.2,1020268,137668,1625037,168558,2445,82334,1193,7919,3045422,137136,158936,225512,294065,423229,447160,275522,43632,239300,2013,1/1/2013,Va.,VA,VA_2013
Washington,90.3,25.2,10.3,923298,80336,1436251,59803,402,113511,1055,16914,2631570,101466,74814,155745,255013,425119,404704,187233,33934,250800,2013,1/1/2013,Wash.,WA,WA_2013
West Virginia,84,17.8,6.6,299536,30813,326536,20335,4521,49289,95,5717,736842,109433,150536,96606,81710,61859,25937,6348,1837,103200,2013,1/1/2013,W.Va.,WV,WV_2013
Wisconsin,86.9,21.7,11.4,1473766,262243,347831,64775,393,106043,660,21358,2277069,98128,230730,341895,316852,332318,163183,45575,9245,163000,2013,1/1/2013,Wis.,WI,WI_2013
Wyoming,84.4,16.4,7.5,133356,23452,50094,649,1951,11656,185,2040,223383,16638,10913,20324,32428,39778,25865,6758,1995,195500,2013,1/1/2013,Wyo.,WY,WY_2013
Alabama,84.3,21.5,9.8,521672,134114,1157432,4516,148,21306,81,1511,1840780,205516,308462,240291,196597,182008,96493,30261,8937,123200,2012,1/1/2012,Ala.,AL,AL_2012
Alaska,81.8,23.2,10.5,121498,4021,29529,77163,1160,16548,50,1072,251041,9698,10457,12503,21811,52997,42674,8370,917,245100,2012,1/1/2012,Alaska,AK,AK_2012
Arizona,83.3,25.7,9.7,819061,68866,1421896,1766,366,45518,2859,5795,2366127,165894,277982,295837,235624,253107,182003,67983,18220,151500,2012,1/1/2012,Ariz.,AZ,AZ_2012
Arkansas,86.1,18.5,8.3,457689,83916,545241,1360,9,50355,270,3305,1142145,136973,216031,151358,107634,86435,41254,14013,4024,107600,2012,1/1/2012,Ark.,AR,AR_2012
California,91.6,35.7,12.2,8230125,376616,3298902,34136,1055,215614,11821,43454,12211723,277446,339259,485825,597275,1156729,1836285,1609248,479750,349400,2012,1/1/2012,Calif.,CA,CA_2012
Colorado,89.5,24.1,9.4,1436739,96779,401621,1692,1311,40146,3122,9329,1990739,64422,72281,142038,221395,348775,285284,118271,25692,234900,2012,1/1/2012,Colo.,CO,CO_2012
Connecticut,91.3,29.4,19.1,442443,43849,212708,615734,1526,27351,378,9891,1353880,18278,30272,76693,145729,262052,228768,107250,39410,267800,2012,1/1/2012,Conn.,CT,CT_2012
Delaware,82.9,26.3,10.6,139144,35463,107027,51437,131,4283,125,1933,339543,15427,11829,24623,45202,77527,51149,11823,3470,226900,2012,1/1/2012,Del.,DE,DE_2012
District of Columbia,88.8,24.9,12.9,158714,1916,95540,7079,73,0,56,1410,264788,1069,1243,2172,6379,17127,33088,37438,12165,460700,2012,1/1/2012,D.C.,DC,DC_2012
Florida,79.7,34.5,13.4,317127,79261,6666798,16347,257,13215,1321,2869,7097195,504923,1030965,852060,756246,780138,511072,211979,77045,148200,2012,1/1/2012,Fla.,FL,FL_2012
Georgia,86,25.1,10,1424695,184571,1867991,7880,44,34641,347,2971,3523140,257901,481856,446903,371461,353792,232024,82997,21768,142300,2012,1/1/2012,Ga.,GA,GA_2012
Hawaii,85.4,37.7,10.3,8173,5728,145001,89,0,1396,6473,456,167316,4113,4312,7273,10396,29840,72638,106951,19247,496600,2012,1/1/2012,Hawaii,HI,HI_2012
Idaho,86.6,24.3,8,303445,27523,189786,10232,492,46012,421,4131,582042,28416,64828,97134,78585,73899,39614,12870,3325,154500,2012,1/1/2012,Idaho,ID,ID_2012
Illinois,90.2,26.7,12.7,3807461,189025,699492,9842,751,23615,559,20728,4751473,229005,537996,555603,546806,641314,448979,175201,42200,170600,2012,1/1/2012,Ill.,IL,IL_2012
Indiana,88.3,17.5,8.1,1510771,176520,690543,23066,3866,57554,554,11747,2474621,185341,469500,419468,285597,224049,101661,27770,7394,122700,2012,1/1/2012,Ind.,IN,IN_2012
Iowa,91.2,15.8,8.1,784644,162117,233255,9572,23,21865,370,10010,1221856,100067,226811,199261,153939,125772,58161,14426,4147,126300,2012,1/1/2012,Iowa,IA,IA_2012
Kansas,89.9,17.9,8.6,760179,83386,244889,955,176,18576,111,4288,1112560,105274,172750,151781,125111,112069,53161,14556,4489,130100,2012,1/1/2012,Kans.,KS,KS_2012
Kentucky,88.1,19.4,8.5,655998,113175,860605,15485,4111,49406,245,4848,1703873,181061,272756,260854,176537,148763,74845,23236,6257,120800,2012,1/1/2012,Ky.,KY,KY_2012
Louisiana,86.5,22,7.8,601692,39816,1061773,1556,78,8727,409,1365,1715416,178992,219415,208432,205465,189621,93046,28362,6801,139500,2012,1/1/2012,La.,LA,LA_2012
Maine,76.6,26.7,12.4,28621,41477,23260,374110,2278,76225,635,6995,553601,30808,61433,65887,78453,86560,52436,16383,4054,172300,2012,1/1/2012,Maine,ME,ME_2012
Maryland,90.1,24.9,12.4,964693,66558,860277,219631,2767,28271,487,9507,2152191,45707,62230,109130,182989,391582,397576,206056,38667,279900,2012,1/1/2012,Md.,MD,MD_2012
Massachusetts,89.8,26.7,16.8,1249253,68517,365060,772641,3563,43393,487,14495,2517409,30946,32296,80419,154524,402120,551696,264183,53871,323800,2012,1/1/2012,Mass.,MA,MA_2012
Michigan,84.4,23.2,12.5,2942881,320522,321209,54189,853,134225,468,32087,3806434,454656,706784,541219,419335,351706,168400,54303,17561,115700,2012,1/1/2012,Mich.,MI,MI_2012
Minnesota,89.4,19.3,9.9,1402952,213359,346867,56795,351,55471,373,24432,2100600,90763,179107,280400,321180,347718,210503,66430,12709,178400,2012,1/1/2012,Minn.,MN,MN_2012
Mississippi,84.9,24.6,10.8,331549,135562,600806,1565,0,16701,183,1609,1087975,160391,212264,130637,105940,85182,35102,9373,4722,99800,2012,1/1/2012,Miss.,MS,MS_2012
Missouri,86.7,20.4,9.3,1221514,212317,808932,6484,173,97410,369,7872,2355071,189773,360280,340473,278786,249271,121841,40434,10828,135000,2012,1/1/2012,Mo.,MO,MO_2012
Montana,84.1,23.9,9.8,221497,48601,86337,5488,926,37505,126,7212,407692,29415,29089,39098,52681,66950,38398,13975,4590,184800,2012,1/1/2012,Mont.,MT,MT_2012
Nebraska,91.2,17.7,8.6,462920,57442,190063,3686,54,11392,285,6269,732111,54522,109942,132645,80849,68304,29633,8273,2474,128300,2012,1/1/2012,Nebr.,NE,NE_2012
Nevada,85.1,30.5,10.1,627705,26371,321747,7231,15,15907,434,3723,1003133,48953,103890,121481,99508,98809,52264,20852,6567,150700,2012,1/1/2012,Nev.,NV,NV_2012
New Hampshire,84.1,28.7,17,104858,72091,39257,245324,593,43948,593,7870,514534,17489,20635,32163,64069,127062,81361,20023,5061,236000,2012,1/1/2012,N.H.,NH,NH_2012
New Jersey,89.5,33.7,23.2,2368222,60990,377997,356378,1107,13974,1002,10889,3190559,45488,64811,123786,221499,534178,698817,333957,58945,311600,2012,1/1/2012,N.J.,NJ,NJ_2012
New Mexico,84.4,26.3,8.7,514107,60107,123471,780,283,54216,2578,8257,763799,65380,80681,96183,95170,97477,56990,21262,4963,157500,2012,1/1/2012,N.M.,NM,NM_2012
New York,89.1,30.9,18.3,4044389,237738,775390,1901118,18990,155603,2168,61429,7196825,211158,459068,436498,384757,553612,977044,683738,178018,280900,2012,1/1/2012,N.Y.,NY,NY_2012
North Carolina,85.3,23.2,10.1,919136,288635,2266804,157871,538,80465,821,5897,3720167,245512,457078,517321,416507,415749,269060,97448,22951,150100,2012,1/1/2012,N.C.,NC,NC_2012
North Dakota,88.4,12,6.8,119677,38617,111749,11457,1083,1571,31,4751,288936,29715,33374,36413,33773,35955,16057,3177,729,142500,2012,1/1/2012,N.D.,ND,ND_2012
Ohio,88.8,20,9.3,3034608,240185,1015239,115319,3553,94448,991,35424,4539767,293962,775705,731931,522075,427366,198631,54847,14865,127600,2012,1/1/2012,Ohio,OH,OH_2012
Oklahoma,86.2,19.7,8.1,781022,103017,521871,2009,96,28392,71,8427,1444905,153344,256025,217888,144846,113374,51842,17884,5166,114300,2012,1/1/2012,Okla.,OK,OK_2012
Oregon,90.2,28.8,11.3,588282,23647,741186,41366,122,108087,531,9808,1513029,68204,49755,113409,165824,255698,197579,73844,9462,223900,2012,1/1/2012,Ore.,OR,OR_2012
Pennsylvania,89,22.4,12.4,2530063,188880,1046982,936674,66314,145089,1484,31494,4946980,313473,609543,592470,596655,689364,429634,153933,31427,163800,2012,1/1/2012,Pa.,PA,PA_2012
Rhode Island,89.3,28.9,17.2,208173,10361,38606,144208,413,7592,204,2165,411722,6154,9317,24285,52913,81203,52033,16999,4886,234600,2012,1/1/2012,R.I.,RI,RI_2012
South Carolina,82.9,23.1,9.2,413800,79272,1241285,22605,145,21893,257,1688,1780945,178563,255399,239319,194780,176659,113740,45612,13620,135500,2012,1/1/2012,S.C.,SC,SC_2012
South Dakota,87.9,18,7.4,156813,54015,92135,7806,266,6133,275,4387,321830,34934,41780,46706,35784,34026,17684,4470,1816,134300,2012,1/1/2012,S.D.,SD,SD_2012
Tennessee,87.5,23,9.1,813213,110486,1485761,9931,752,51767,376,2391,2474677,175888,367036,367314,274486,253439,148252,54432,13154,137800,2012,1/1/2012,Tenn.,TN,TN_2012
Texas,88.3,22,10.2,3323361,303869,5240726,11720,368,39054,978,12505,8932581,687776,1348681,1204215,894961,767212,454600,174034,55377,129200,2012,1/1/2012,Tex.,TX,TX_2012
Utah,89.9,23,7.2,754905,18238,105231,1274,1195,10977,163,2717,894700,26889,31247,107011,147447,173608,98323,32846,6218,199700,2012,1/1/2012,Utah,UT,UT_2012
Vermont,79.8,26.3,19.1,41601,38497,12532,114708,716,46051,206,3749,258060,9371,11665,23669,36360,57187,33339,9979,1993,216900,2012,1/1/2012,Vt.,VT,VT_2012
Virginia,89.4,22.9,9.3,1016029,136651,1604379,178393,2575,85135,350,8450,3031962,112863,164972,226828,310934,448329,434970,268330,43216,237800,2012,1/1/2012,Va.,VA,VA_2012
Washington,90.5,27,10.7,916691,81776,1433146,65724,131,114568,514,16609,2629159,81162,76751,169452,277834,445697,392491,168459,31791,243000,2012,1/1/2012,Wash.,WA,WA_2012
West Virginia,84,16.9,6.7,305035,29530,323747,24468,5330,47705,239,4121,740175,121345,144647,100213,70383,60811,27459,6536,2364,100400,2012,1/1/2012,W.Va.,WV,WV_2012
Wisconsin,86.9,21.9,11.6,1495819,245071,343453,68459,205,106058,584,20485,2280134,83086,223611,345704,332559,343075,157952,43194,10597,165200,2012,1/1/2012,Wis.,WI,WI_2012
Wyoming,84.3,18,7.6,134357,23326,50489,357,819,11887,141,1738,223114,16850,12047,21198,34470,38119,20687,8406,2552,187400,2012,1/1/2012,Wyo.,WY,WY_2012
Alabama,84.5,24.4,11.3,550050,140803,1122217,3873,191,21202,94,1654,1840084,206692,310299,250739,206216,177195,95094,32740,10242,122700,2011,1/1/2011,Ala.,AL,AL_2011
Alaska,82.7,23.3,10.2,122456,3562,30948,81900,782,15790,13,1100,256551,9372,11297,12930,26180,51355,40241,9971,966,238300,2011,1/1/2011,Alaska,AK,AK_2011
Arizona,82.3,30.5,10.5,811728,71170,1391980,860,117,45923,3062,6903,2331743,153268,276105,297177,249026,257432,179153,69300,20067,153800,2011,1/1/2011,Ariz.,AZ,AZ_2011
Arkansas,85.1,21.1,8.8,464547,86611,519261,1074,259,51152,250,2484,1125638,136420,218636,146731,109048,83340,40898,12890,3021,106300,2011,1/1/2011,Ark.,AR,AR_2011
California,90.9,38.6,12.2,8259792,381065,3180216,35746,1116,216924,12405,41419,12128683,263488,328995,469223,589284,1165024,1860313,1680288,486754,355600,2011,1/1/2011,Calif.,CA,CA_2011
Colorado,88.8,26.1,9.8,1436516,95799,378790,2606,1180,42179,3199,9778,1970047,60085,69195,145451,225217,355644,273909,115316,26987,233700,2011,1/1/2011,Colo.,CO,CO_2011
Connecticut,90.5,30.7,20.4,437840,43778,207267,625164,1195,25707,611,7588,1349150,17669,24913,65406,137241,262157,250385,113294,39994,278700,2011,1/1/2011,Conn.,CT,CT_2011
Delaware,81.3,26.5,10.7,134125,34745,104516,52969,455,3170,209,2326,332515,14069,9650,22503,40577,77563,58982,12033,3183,236900,2011,1/1/2011,Del.,DE,DE_2011
District of Columbia,89.9,26.6,9.2,161752,2126,94987,6753,0,80,99,1429,267226,1529,1338,3206,5032,19143,34946,33052,12379,422400,2011,1/1/2011,D.C.,DC,DC_2011
Florida,78.7,37.4,15,312612,80366,6587042,16716,203,17014,1287,2201,7017441,464550,994868,891772,767443,798789,522708,224259,76780,151000,2011,1/1/2011,Fla.,FL,FL_2011
Georgia,85.2,28.1,11.3,1423322,181946,1832835,8937,37,33966,327,3021,3484391,239693,446572,466905,388056,375166,236614,84674,19023,147100,2011,1/1/2011,Ga.,GA,GA_2011
