state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
Utah,90.3,16.9,5.1,827604,23489,151639,826,904,11231,2435,4121,1022249,24315,11231,28136,48911,195717,282326,115967,16685,330300,2019,1/1/2019,Utah,UT,UT_2019
Vermont,77.4,19.3,13.1,48826,48270,16723,108658,297,34473,547,4727,262521,7880,12459,22080,32843,50735,46458,11875,1922,233200,2019,1/1/2019,Vt.,VT,VT_2019
Virginia,89.6,17.8,7.2,1041958,135500,1793634,131931,1355,60480,2552,9895,3177305,86582,124031,184357,258623,448890,544606,394218,69406,288800,2019,1/1/2019,Va.,VA,VA_2019
Washington,91.8,20.7,8.7,1001906,86647,1652260,47771,652,108817,2748,18055,2918856,57269,42080,58060,109901,319282,652487,482999,127614,387600,2019,1/1/2019,Wash.,WA,WA_2019
West Virginia,81.4,15.5,6.4,290668,38333,328031,19681,4091,39813,254,5596,726467,89374,125243,98633,83551,82194,43228,10110,2235,124600,2019,1/1/2019,W.Va.,WV,WV_2019
Wisconsin,87.6,15.5,9.1,1570313,285657,384000,41457,459,71833,567,18410,2372696,68691,169969,272125,305534,407783,285099,79888,14817,197200,2019,1/1/2019,Wis.,WI,WI_2019
Wyoming,83.2,15.3,7.7,138003,28099,53068,199,1341,9447,102,1814,232073,13307,8743,13298,30210,50316,35416,11485,4807,235200,2019,1/1/2019,Wyo.,WY,WY_2019
Alabama,81.6,18.3,8.4,502864,104577,1218383,2525,539,15891,204,2054,1847037,161429,254617,223994,202916,226217,137880,47260,7944,147900,2018,1/1/2018,Ala.,AL,AL_2018
Alaska,80,21.9,10,122020,5640,34656,73236,926,12918,50,2616,252062,9397,9409,11576,16359,49095,54529,15426,1317,276100,2018,1/1/2018,Alaska,AK,AK_2018
Arizona,86.1,20.2,9.1,858830,74563,1578580,2817,417,51457,18031,5123,2589818,126751,108349,156215,244136,472517,403029,151970,31400,241100,2018,1/1/2018,Ariz.,AZ,AZ_2018
Arkansas,83.8,17.4,8,427676,82510,598185,1607,0,39943,399,2762,1153082,101744,176599,151222,123783,112947,65744,21155,7207,133100,2018,1/1/2018,Ark.,AR,AR_2018
California,91.6,29.4,12.5,8342368,426163,3496270,33503,1595,182905,95807,43762,12622373,192017,141483,155359,232591,696484,1839730,2667251,1240749,546800,2018,1/1/2018,Calif.,CA,CA_2018
Colorado,89.8,20.7,9.2,1502352,103320,503980,2500,575,34473,6536,13583,2167319,49054,40912,51312,88223,251784,551903,328969,55824,373300,2018,1/1/2018,Colo.,CO,CO_2018
Connecticut,90.6,23.5,18.1,497422,60526,232420,549036,943,22954,1579,8782,1373662,18133,27730,73088,135794,252266,250473,107033,42254,277400,2018,1/1/2018,Conn.,CT,CT_2018
Delaware,83.8,23,10.9,157776,37299,122903,42215,246,2904,831,2412,366586,15020,10592,19377,38024,77217,77480,18457,4978,255300,2018,1/1/2018,Del.,DE,DE_2018
District of Columbia,90,19.4,13.3,146306,3024,129222,2581,19,0,434,2110,283696,1499,1044,1344,1911,9424,31797,49921,24600,617900,2018,1/1/2018,D.C.,DC,DC_2018
Florida,81.8,25.7,12.8,365966,63395,7210000,11959,402,10182,7099,4502,7673505,335575,493007,564194,758914,1284745,1117595,455184,139028,230600,2018,1/1/2018,Fla.,FL,FL_2018
Georgia,87.9,19.1,9.2,1473926,173300,2101878,7125,323,25156,427,4115,3786250,179468,325362,365859,414342,512455,418381,175870,34698,189900,2018,1/1/2018,Ga.,GA,GA_2018
Hawaii,83.4,29.5,8.7,11004,7370,134854,215,92,1301,16595,253,171684,1971,3620,4078,5247,17865,59939,129343,43301,631700,2018,1/1/2018,Hawaii,HI,HI_2018
Idaho,87,18.8,6.3,334824,31162,212296,10065,378,44366,442,5177,638710,22652,30570,51672,77696,124731,109474,29757,6364,233100,2018,1/1/2018,Idaho,ID,ID_2018
Illinois,90.5,20.6,12.9,3738735,201831,841843,5481,1064,19248,1037,24479,4833718,192581,422271,451926,511873,720028,602422,246446,62566,203400,2018,1/1/2018,Ill.,IL,IL_2018
Indiana,89.5,14.8,8,1548536,184265,777784,16551,3008,47601,970,10698,2589413,146135,376441,394172,329256,299262,178298,56876,11309,147300,2018,1/1/2018,Ind.,IN,IN_2018
Iowa,89.9,14.6,8.4,779024,165484,286768,6203,180,14855,725,8571,1261810,77434,180511,186423,152388,171170,107672,23665,4488,152000,2018,1/1/2018,Iowa,IA,IA_2018
Kansas,88.5,15.5,9.9,733557,89272,283269,2777,237,16680,235,4188,1130215,79876,140897,127478,125107,146773,95112,29092,5486,159400,2018,1/1/2018,Kans.,KS,KS_2018
